Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,25.140222469400378,25.140222469400378,25.015146735721768,25.12235450744629,1003200,29,4,4,1,1993
1993-02-01,25.140206207663326,25.30101776123047,25.140206207663326,25.30101776123047,480500,1,0,5,2,1993
1993-02-02,25.283157692735173,25.37249747256816,25.22955382483538,25.354629516601562,201300,2,1,5,2,1993
1993-02-03,25.39036103704817,25.640512377314653,25.372493084171992,25.622644424438477,529400,3,2,5,2,1993
1993-02-04,25.711994253264532,25.783466092745464,25.426106895340812,25.729862213134766,531500,4,3,5,2,1993
1993-02-05,25.71198844909668,25.76559231660696,25.569044802402605,25.71198844909668,492100,5,4,5,2,1993
1993-02-08,25.71198844909668,25.80132822828048,25.67625253742316,25.71198844909668,596100,8,0,6,2,1993
1993-02-09,25.622647805344066,25.622647805344066,25.47970416347325,25.533308029174805,122100,9,1,6,2,1993
1993-02-10,25.533315821180473,25.586919703240333,25.46184397843399,25.56905174255371,379600,10,2,6,2,1993
1993-02-11,25.60478442965363,25.801331972379515,25.60478442965363,25.694124221801758,19500,11,3,6,2,1993
1993-02-12,25.65839505746971,25.65839505746971,25.497583389282227,25.497583389282227,42500,12,4,6,2,1993
1993-02-16,25.426094973884325,25.426094973884325,24.818584623137966,24.854320526123047,374800,16,1,7,2,1993
1993-02-17,24.85432616172077,24.890062072808792,24.747118428456698,24.836458206176758,210900,17,2,7,2,1993
1993-02-18,25.122345407374734,25.122345407374734,24.479099010030858,24.81859016418457,378100,18,3,7,2,1993
1993-02-19,24.818588694677803,24.907928466796875,24.782852785830176,24.907928466796875,34900,19,4,7,2,1993
1993-02-22,24.97940072202103,25.033004586231375,24.907928903073902,24.997268676757812,513600,22,0,8,2,1993
1993-02-23,25.068742322307802,25.08661027834651,24.8543268498433,24.979402542114258,373700,23,1,8,2,1993
1993-02-24,24.997262604492533,25.30101776123047,24.997262604492533,25.30101776123047,26300,24,2,8,2,1993
1993-02-25,25.283157692735173,25.37249747256816,25.22955382483538,25.354629516601562,44500,25,3,8,2,1993
